classifier,n_train_used,subsampled,fit_seconds,predict_seconds,accuracy,balanced_accuracy,macro_f1,macro_f1_present_only,weighted_f1,macro_precision,macro_recall,benign_false_positive_rate,attack_detection_rate
random_forest,861989,False,95.21,1.59,0.9995398216673614,0.9821809005867685,0.9062321484101608,0.9886168891747208,0.9995340210350955,0.9131403227979558,0.9003324922045378,0.0005466250961655262,0.9996009370589061
decision_tree,861989,False,22.94,0.08,0.9994315444126229,0.9845815410315097,0.9046803589891571,0.9869240279881715,0.9994289912227601,0.9069625711941351,0.9025330792788839,0.0009717779487387132,0.9995861569499768
mlp,861989,False,802.85,0.28,0.9951166958112944,0.9509912885724866,0.8768162371760874,0.9565268041920955,0.9951018331845312,0.885232973697274,0.8717420145247794,0.014009798760983115,0.9988914918302948
knn,200000,True,0.13,84.98,0.9927941486971539,0.9173228378693292,0.8473634843552365,0.9243965283875307,0.9926633526085737,0.8622222138868382,0.8408792680468852,0.010507349070737337,0.9968666169069667
logistic_regression,861989,False,146.6,0.08,0.9827568471828966,0.9027237345333453,0.8306548139027267,0.9061688878938837,0.9825834513900625,0.8676676453823303,0.8274967566555667,0.04156375268251205,0.9936741133782157
svm,50000,True,43.23,276.77,0.9740730113528702,0.8647414205365593,0.7882756548545662,0.8599370780231631,0.9737478017773913,0.7894218164753775,0.7926796354918461,0.04952018463781026,0.9935263122889215
