classifier,n_train_used,subsampled,fit_seconds,predict_seconds,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,benign_false_positive_rate,attack_detection_rate
random_forest,901577,False,153.54,5.4,0.7472980807056047,0.6269872562493328,0.6350903879090657,0.7407765235336987,0.6795570606645416,0.6269872562493328,0.31920565107290416,0.9741131868191046
mlp,901577,False,1158.66,0.23,0.7347305327232447,0.6107117506163702,0.6175178177967768,0.7270441709353296,0.6839402183129496,0.6107117506163702,0.3324003731840597,0.9716467502813784
decision_tree,901577,False,24.77,0.1,0.7020901053852047,0.5954816528530158,0.5957236604843833,0.7021356093375835,0.5963776024930736,0.5954816528530158,0.5203252032520326,0.9793368624557738
knn,200000,True,0.04,63.21,0.6917275719994203,0.5744503509927296,0.5762847114889481,0.688753403782299,0.5934369494117535,0.5744503509927296,0.3835799013727842,0.9577797762974372
logistic_regression,901577,False,398.76,0.04,0.6784508996045466,0.5487937545840862,0.545073944162576,0.6644432314770812,0.614051288047915,0.5487937545840862,0.49940023990403837,0.9691533875805766
svm,50000,True,29.35,871.36,0.6549980330855711,0.5297022251964714,0.5242758020258501,0.6395657678791195,0.5875673361790485,0.5297022251964714,0.39744102359056377,0.9639189414786772
